Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Twilio inc,TWLO,"",1860.0,205000.0,0.0742,,95,1860.0,,new,0.0013688,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,109.96
Applied materials inc.,AMAT,"",3947.0,197000.0,0.0713,,96,3947.0,,new,0.0004216,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,49.9
Corteva inc,CTVA,"",6606.0,185000.0,0.067,,97,6606.0,,new,0.0008821,Q3 2019,MATERIALS,13F,09/30/2019,28.0
Alphabet inc. class c,GOOG,"",151.0,184000.0,0.0666,,98,151.0,,new,0.0000218,Q3 2019,COMMUNICATIONS,13F,09/30/2019,1219.0
Ishares s&p 500 growth etf,IVW,"",909.0,164000.0,0.0594,,99,909.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,180.03
Janus henderson short duration income etf,VNLA,"",3045.0,152000.0,0.055,,100,3045.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,50.03
Vanguard ftse emerging markets etf,VWO,"",3592.0,145000.0,0.0525,,101,3592.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,40.26
Verizon communications,VZ,"",2094.0,126000.0,0.0456,,102,2094.0,,new,0.0000506,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,60.36
Enterprise products partners lp,EPD,"",4312.0,123000.0,0.0445,,103,4312.0,,new,0.0001970,Q3 2019,ENERGY,13F,09/30/2019,28.58
Spdr blackstone gso senior loan etf,SRLN,"",2527.0,117000.0,0.0424,,104,2527.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,46.32
Vanguard extended market index etf,VXF,"",1001.0,116000.0,0.042,,105,1001.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,116.33
Spdr port large cap etf,SPLG,"",3325.0,116000.0,0.042,,106,3325.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,34.85
Lattice semconductor corp.,LSCC,"",6370.0,116000.0,0.042,,107,6370.0,,new,0.0048014,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,18.29
Schwab u.s. reit etf,SCHH,"",2438.0,115000.0,0.0416,2.1923,108,-128298.0,-98.135173,reduction,No Data,Q2 2019,FINANCE,13F,09/30/2019,44.44
Vanguard mid-cap etf,VO,"",659.0,111000.0,0.0402,,109,659.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,167.6
Oracle corp,ORCL,"",2000.0,110000.0,0.0398,,110,2000.0,,new,0.0000600,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,55.03
Intel corp.,INTC,"",2135.0,110000.0,0.0398,,111,2135.0,,new,0.0000482,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,51.53
Vanguard value etf,VTV,"",973.0,109000.0,0.0395,,112,973.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,111.62
Schwab u.s. large-cap value etf,SCHV,"",1926.0,109000.0,0.0395,,113,1926.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,56.73
Spdr s&p 500 growth etf,SPYG,"",2675.0,104000.0,0.0376,,114,2675.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,38.89
Vanguard total bond market indx fund etf,BND,"",1200.0,101000.0,0.0366,,115,1200.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,84.43
Schwab us aggregate bond etf,SCHZ,"",1879.0,101000.0,0.0366,,116,1879.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,53.85
Vanguard small-cap value etf,VBR,"",745.0,96000.0,0.0348,,117,745.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,128.85
Duke energy corp.,DUK,"",1000.0,96000.0,0.0348,,118,1000.0,,new,0.0001372,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,95.86
American electric power co. (american gas & electric),AEP,"",1000.0,94000.0,0.034,,119,1000.0,,new,0.0002025,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,93.69
Cleveland-cliffs inc,CLF,"",12500.0,90000.0,0.0326,,120,12500.0,,new,0.0046288,Q3 2016,MATERIALS,13F,09/30/2019,7.22
Tesla inc,TSLA,"",339.0,82000.0,0.0297,,121,339.0,,new,0.0001892,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,240.87
Conocophillips (phillips petroleum),COP,"",1393.0,79000.0,0.0286,,122,1393.0,,new,0.0001255,Q3 2019,ENERGY,13F,09/30/2019,56.98
Hd supply holdings inc,HDS,"",1994.0,78000.0,0.0282,,123,1994.0,,new,0.0011672,Q3 2019,INDUSTRIALS,13F,09/30/2019,39.17
At&t inc. (southwestern bell - sbc corp.),T,"",2000.0,76000.0,0.0275,,124,2000.0,,new,0.0000274,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,37.84
Oneok inc. (oklahoma natural gas),OKE,"",1000.0,74000.0,0.0268,,125,1000.0,,new,0.0002421,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,73.69
Smucker (j.m.) co.,SJM,"",632.0,70000.0,0.0253,,126,632.0,,new,0.0005542,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,110.02
Ford motor co.,F,"",7193.0,66000.0,0.0239,,127,7193.0,,new,0.0001803,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,9.16
Southern co.,SO,"",1000.0,62000.0,0.0224,,128,1000.0,,new,0.0000961,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,61.77
Vanguard short-term bond etf,BSV,"",750.0,61000.0,0.0221,,129,750.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,80.79
Cf industries holdings inc,CF,"",1214.0,60000.0,0.0217,,130,1214.0,,new,0.0005560,Q3 2010,MATERIALS,13F,09/30/2019,49.2
Nvidia corp.,NVDA,"",319.0,56000.0,0.0203,,131,319.0,,new,0.0000524,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,174.07
Mondelez international inc. (kraft foods),MDLZ,"",1000.0,55000.0,0.0199,,132,1000.0,,new,0.0000693,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,55.32
Ishares core u.s. aggregate bond etf,AGG,"",490.0,55000.0,0.0199,,133,490.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,113.17
Coca cola co.,KO,"",1000.0,54000.0,0.0195,,134,1000.0,,new,0.0000234,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,54.44
Bristol-myers squibb co,BMY,"",1000.0,51000.0,0.0185,,135,1000.0,,new,0.0000611,Q3 2019,HEALTH CARE,13F,09/30/2019,50.71
V.f. corp. (vanity fair mills inc.),VFC,"",554.0,49000.0,0.0177,,136,554.0,,new,0.0001391,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,88.99
Tractor supply company,TSCO,"",500.0,45000.0,0.0163,,137,500.0,,new,0.0004192,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,90.44
American express co,AXP,"",370.0,44000.0,0.0159,,138,370.0,,new,0.0000446,Q3 2019,FINANCE,13F,09/30/2019,118.28
Netflix inc,NFLX,"",164.0,44000.0,0.0159,,139,164.0,,new,0.0000375,Q3 2019,COMMUNICATIONS,13F,09/30/2019,267.62
Fidelity nasdaq composite index tracking stock,ONEQ,"",135.0,42000.0,0.0152,,140,135.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,314.01
Phunware inc.,PHUN,"",29089.0,41000.0,0.0148,,141,29089.0,,new,0.7345707,Q3 2019,FINANCE,13F,09/30/2019,1.44
Pfizer  inc.,PFE,"",1000.0,36000.0,0.013,,142,1000.0,,new,0.0000181,Q3 2019,HEALTH CARE,13F,09/30/2019,35.93
Enbridge  inc.,ENB,"",984.0,35000.0,0.0127,,143,984.0,,new,0.0000486,Q3 2019,ENERGY,13F,09/30/2019,35.08
Whirlpool corp. (de),WHR,"",213.0,34000.0,0.0123,,144,213.0,,new,0.0003353,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,158.36
Illinois tool works inc,ITW,"",218.0,34000.0,0.0123,,145,218.0,,new,0.0000674,Q3 2019,INDUSTRIALS,13F,09/30/2019,156.49
Alibaba group holding ltd adr,BABA,"",193.0,33000.0,0.0119,,146,193.0,,new,0.0000076,Q3 2019,COMMUNICATIONS,13F,09/30/2019,167.23
Franco-nevada corp,FNV,"",350.0,32000.0,0.0116,,147,350.0,,new,0.0001863,Q3 2019,MATERIALS,13F,09/30/2019,91.16
Fs bancorp inc. (wa),FSBW,"",600.0,32000.0,0.0116,,148,600.0,,new,0.0133929,Q3 2019,FINANCE,13F,09/30/2019,52.5
Goldman sachs group inc,GS,"",155.0,32000.0,0.0116,,149,155.0,,new,0.0000431,Q3 2019,FINANCE,13F,09/30/2019,207.23
Western gas partners lp,WES,"",1219.0,30000.0,0.0109,,150,1219.0,,new,0.0005568,Q3 2019,ENERGY,13F,09/30/2019,24.89
Markel corp. (holding co.),MKL,"",25.0,30000.0,0.0109,,151,25.0,,new,0.0001809,Q3 2019,FINANCE,13F,09/30/2019,1181.9
Magellan midstream partners lp,MMP,"",447.0,30000.0,0.0109,,152,447.0,,new,0.0001957,Q3 2019,ENERGY,13F,09/30/2019,66.27
Flagstar bancorp inc,FBC,"",815.0,30000.0,0.0109,,153,815.0,,new,0.0014430,Q3 2019,FINANCE,13F,09/30/2019,37.35
Corning inc.,GLW,"",1000.0,29000.0,0.0105,,154,1000.0,,new,0.0001281,Q3 2019,MATERIALS,13F,09/30/2019,28.52
Celgene corp.,CELG,"",279.0,28000.0,0.0101,,155,279.0,,new,0.0000394,Q3 2019,HEALTH CARE,13F,09/30/2019,99.3
Public storage  inc.,PSA,"",115.0,28000.0,0.0101,,156,115.0,,new,0.0000659,Q3 2019,REAL ESTATE,13F,09/30/2019,245.27
Flowserve corporation,FLS,"",600.0,28000.0,0.0101,,157,600.0,,new,0.0004574,Q3 2019,INDUSTRIALS,13F,09/30/2019,46.71
Activision blizzard inc,ATVI,"",523.0,28000.0,0.0101,,158,523.0,,new,0.0000682,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,52.92
Vanguard s&p 500 etf,VOO,"",94.0,26000.0,0.0094,,159,94.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,272.6
Blackberry ltd,BB,"",5000.0,26000.0,0.0094,,160,5000.0,,new,0.0009120,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,5.25
Vanguard information technology etf,VGT,"",110.0,24000.0,0.0087,,161,110.0,,new,No Data,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,215.55
W.p. carey inc,WPC,"",267.0,24000.0,0.0087,,162,267.0,,new,0.0001563,Q3 2019,FINANCE,13F,09/30/2019,89.5
Citigroup  inc.,C,"",337.0,23000.0,0.0083,,163,337.0,,new,0.0000149,Q2 2016,FINANCE,13F,09/30/2019,69.08
Nordstrom inc.,JWN,"",667.0,22000.0,0.008,,164,667.0,,new,0.0004313,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,33.67
Mplx l.p.,MPLX,"",796.0,22000.0,0.008,,165,796.0,,new,0.0000753,Q3 2019,ENERGY,13F,09/30/2019,28.01
Spdr energy select sector fund,XLE,"",362.0,21000.0,0.0076,,166,362.0,,new,No Data,Q3 2019,ENERGY,13F,09/30/2019,59.2
Williams cos. (the),WMB,"",865.0,21000.0,0.0076,,167,865.0,,new,0.0000714,Q3 2019,ENERGY,13F,09/30/2019,24.06
Plains group holdings l.p.,PAGP,"",972.0,21000.0,0.0076,,168,972.0,,new,0.0005820,Q3 2019,ENERGY,13F,09/30/2019,21.23
Sophiris bio inc,SPHS,"",34328.0,20000.0,0.0072,0.0109,169,0.0,0.0,,0.0282915,Q2 2017,HEALTH CARE,13F,09/30/2019,2.2901
Abiomed inc,ABMD,"",112.0,20000.0,0.0072,,170,112.0,,new,0.0002468,Q3 2019,HEALTH CARE,13F,09/30/2019,177.89
Plains all american pipeline lp,PAA,"",907.0,19000.0,0.0069,,171,907.0,,new,0.0001246,Q3 2019,ENERGY,13F,09/30/2019,20.75
Royal gold inc,RGLD,"",154.0,19000.0,0.0069,,172,154.0,,new,0.0002349,Q3 2019,MATERIALS,13F,09/30/2019,123.21
Bitcoin investment trust,GBTC,"",1700.0,18000.0,0.0065,,173,1700.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,10.59
Energy transfer equity lp,ET,"",1384.0,18000.0,0.0065,,174,1384.0,,new,0.0000528,Q3 2019,ENERGY,13F,09/30/2019,13.08
Splunk inc,SPLK,"",150.0,18000.0,0.0065,,175,150.0,,new,0.0000999,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,117.86
Encana corp.,ECA,"",3941.0,18000.0,0.0065,,176,3941.0,,new,0.0003034,Q3 2019,ENERGY,13F,09/30/2019,4.6
Stryker corp.,SYK,"",80.0,17000.0,0.0062,,177,80.0,,new,0.0000214,Q3 2019,HEALTH CARE,13F,09/30/2019,216.3
Exelixis inc,EXEL,"",900.0,16000.0,0.0058,,178,900.0,,new,0.0002971,Q3 2019,HEALTH CARE,13F,09/30/2019,17.68
Ardelyx inc,ARDX,"",3300.0,16000.0,0.0058,,179,3300.0,,new,0.0052548,Q3 2019,HEALTH CARE,13F,09/30/2019,4.7
Ebay inc.,EBAY,"",400.0,16000.0,0.0058,,180,400.0,,new,0.0000477,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,38.98
Vanguard high dividend yield etf,VYM,"",172.0,15000.0,0.0054,,181,172.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,88.73
Siteone landscape supply inc,SITE,"",200.0,15000.0,0.0054,,182,200.0,,new,0.0004853,Q3 2019,INDUSTRIALS,13F,09/30/2019,74.02
Etsy inc,ETSY,"",265.0,15000.0,0.0054,,183,265.0,,new,0.0002200,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,56.5
Taiwan semiconductor manufacturing co ltd adr,TSM,"",324.0,15000.0,0.0054,,184,324.0,,new,0.0000062,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,46.48
Schlumberger ltd.,SLB,"",399.0,14000.0,0.0051,,185,399.0,,new,0.0000289,Q4 2011,ENERGY,13F,09/30/2019,34.17
Johnson controls international plc (tyco laboratories),JCI,"",319.0,14000.0,0.0051,,186,319.0,,new,0.0000401,Q3 2019,MATERIALS,13F,09/30/2019,43.89
Twitter inc,TWTR,"",347.0,14000.0,0.0051,,187,347.0,,new,0.0000449,Q3 2019,COMMUNICATIONS,13F,09/30/2019,41.2
Jd.com inc adr,JD,"",500.0,14000.0,0.0051,,188,500.0,,new,0.0000343,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,28.21
Berkshire hathaway inc class b,BRK.B,"",68.0,14000.0,0.0051,,189,68.0,,new,0.0000028,Q3 2019,FINANCE,13F,09/30/2019,208.02
General electric co,GE,"",1609.0,14000.0,0.0051,,190,1609.0,,new,0.0000184,Q3 2019,INDUSTRIALS,13F,09/30/2019,8.94
New york community bancorp,NYCB,"",1000.0,13000.0,0.0047,,191,1000.0,,new,0.0002140,Q3 2019,FINANCE,13F,09/30/2019,12.55
Dell technologies inc,DELL,"",260.0,13000.0,0.0047,,192,260.0,,new,0.0000339,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,51.86
Servicenow inc,NOW,"",50.0,13000.0,0.0047,,193,50.0,,new,0.0000267,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,253.85
Hanesbrands  inc.,HBI,"",772.0,12000.0,0.0043,,194,772.0,,new,0.0002135,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,15.32
Molson coors brewing company,TAP,"",200.0,12000.0,0.0043,,195,200.0,,new,0.0000924,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,57.5
Sailpoint technologies holdings inc,SAIL,"",650.0,12000.0,0.0043,,196,650.0,,new,0.0007294,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,18.69
Docusign inc,DOCU,"",200.0,12000.0,0.0043,,197,200.0,,new,0.0001151,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,61.92
Skyworks solutions  inc.,SWKS,"",140.0,11000.0,0.004,,198,140.0,,new,0.0000815,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,79.25
Ppg industries  inc. (pittsburgh plate glass),PPG,"",96.0,11000.0,0.004,,199,96.0,,new,0.0000406,Q3 2019,MATERIALS,13F,09/30/2019,118.51
Johnson & johnson co.,JNJ,"",75.0,10000.0,0.0036,0.5068,200,-9569.0,-99.222314,reduction,0.0000028,Q4 2018,HEALTH CARE,13F,09/30/2019,129.1253
Spdr gold trust,GLD,"",70.0,10000.0,0.0036,,201,70.0,,new,No Data,Q3 2019,MATERIALS,13F,09/30/2019,138.87
Teleflex  inc.,TFX,"",30.0,10000.0,0.0036,,202,30.0,,new,0.0000649,Q3 2019,INDUSTRIALS,13F,09/30/2019,339.75
Kraft heinz co. (the),KHC,"",333.0,9000.0,0.0033,,203,333.0,,new,0.0000273,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,27.935
Quantshares us market neutral anti-beta fund,BTAL,"",400.0,9000.0,0.0033,,204,400.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,23.7
Newell brands inc,NWL,"",455.0,9000.0,0.0033,,205,455.0,,new,0.0001075,Q3 2018,CONSUMER DISCRETIONARY,13F,09/30/2019,18.72
Emerging markets internet and ecommerce etf,EMQQ,"",251.0,8000.0,0.0029,,206,251.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,31.2
International bancshares corp.,IBOC,"",200.0,8000.0,0.0029,,207,200.0,,new,0.0003046,Q3 2019,FINANCE,13F,09/30/2019,38.62
Stericycle inc.,SRCL,"",155.0,8000.0,0.0029,,208,155.0,,new,0.0001701,Q3 2019,INDUSTRIALS,13F,09/30/2019,50.93
Neogenomics  inc.,NEO,"",400.0,8000.0,0.0029,,209,400.0,,new,0.0003851,Q3 2019,HEALTH CARE,13F,09/30/2019,19.12
Chesapeake energy corp.,CHK,"",6000.0,8000.0,0.0029,,210,6000.0,,new,0.0003671,Q3 2019,ENERGY,13F,09/30/2019,1.41
L3harris technologies inc,LHX,"",40.0,8000.0,0.0029,,211,40.0,,new,0.0000339,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,208.64
Yeti holdings inc,YETI,"",260.0,7000.0,0.0025,,212,260.0,,new,0.0003063,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,28.0
Chevron corp. (standard oil of california),CVX,"",61.0,7000.0,0.0025,,213,61.0,,new,0.0000032,Q3 2019,ENERGY,13F,09/30/2019,118.6
Colgate-palmolive co.,CL,"",96.0,7000.0,0.0025,,214,96.0,,new,0.0000112,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,73.51
Virtu financial inc,VIRT,"",405.0,7000.0,0.0025,,215,405.0,,new,0.0002125,Q3 2019,FINANCE,13F,09/30/2019,16.36
Eaton corp.,ETN,"",88.0,7000.0,0.0025,,216,88.0,,new,0.0000210,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,83.15
Under armour inc cl c,UA,"",400.0,7000.0,0.0025,,217,400.0,,new,0.0000886,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,18.13
Mednax inc,MD,"",262.0,6000.0,0.0022,,218,262.0,,new,0.0003111,Q3 2019,HEALTH CARE,13F,09/30/2019,22.62
Inspire medical systems inc,INSP,"",100.0,6000.0,0.0022,,219,100.0,,new,No Data,Q3 2019,HEALTH CARE,13F,09/30/2019,61.02
Morgan stanley india investment fund inc,IIF,"",311.0,6000.0,0.0022,,220,311.0,,new,0.0022834,Q3 2019,FINANCE,13F,09/30/2019,18.95
Square inc,SQ,"",100.0,6000.0,0.0022,,221,100.0,,new,0.0000234,Q3 2019,FINANCE,13F,09/30/2019,61.95
First trust nasdaq-100 equal weighted index fund,QQEW,"",86.0,6000.0,0.0022,,222,86.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,66.35
First solar inc,FSLR,"",100.0,6000.0,0.0022,,223,100.0,,new,0.0000949,Q3 2019,INDUSTRIALS,13F,09/30/2019,58.01
Alerian mlp etf,AMLP,"",610.0,6000.0,0.0022,,224,610.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,9.14
Sm energy co,SM,"",606.0,6000.0,0.0022,,225,606.0,,new,0.0005369,Q3 2019,ENERGY,13F,09/30/2019,9.69
Unitedhealth group inc.,UNH,"",29.0,6000.0,0.0022,,226,29.0,,new,0.0000031,Q3 2019,HEALTH CARE,13F,09/30/2019,217.32
Deutsche x-trackers msci all world ex us hedged equity etf,DBAW,"",190.0,5000.0,0.0018,,227,190.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,27.61
Chipotle mexican grill  inc.,CMG,"",6.0,5000.0,0.0018,,228,6.0,,new,0.0000216,Q3 2017,CONSUMER DISCRETIONARY,13F,09/30/2019,840.47
Kohls corp.,KSS,"",101.0,5000.0,0.0018,,229,101.0,,new,0.0000623,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,49.66
Costco co.,COST,"",16.0,5000.0,0.0018,,230,16.0,,new,0.0000036,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,288.11
Linde plc,LIN,"",27.0,5000.0,0.0018,,231,27.0,,new,0.0000094,Q3 2019,MATERIALS,13F,09/30/2019,193.72
United states commodity index fund etv,USCI,"",111.0,4000.0,0.0014,,232,111.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,35.83
Incyte corporation,INCY,"",60.0,4000.0,0.0014,,233,60.0,,new,0.0000279,Q3 2019,HEALTH CARE,13F,09/30/2019,74.23
Nasdaq inc,NDAQ,"",36.0,4000.0,0.0014,,234,36.0,,new,0.0000219,Q3 2019,FINANCE,13F,09/30/2019,99.35
Compass minerals international inc,CMP,"",76.0,4000.0,0.0014,,235,76.0,,new,0.0002243,Q3 2019,MATERIALS,13F,09/30/2019,56.49
Bwx technologies inc,BWXT,"",63.0,4000.0,0.0014,,236,63.0,,new,0.0000662,Q3 2019,INDUSTRIALS,13F,09/30/2019,57.21
Vanguard russell 2000 etf,VTWO,"",30.0,4000.0,0.0014,,237,30.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,121.7
Newmarket corp. (albermarle paper manufacturing - ethyl corp.),NEU,"",9.0,4000.0,0.0014,,238,9.0,,new,0.0000804,Q3 2019,MATERIALS,13F,09/30/2019,472.09
Beyond meat inc,BYND,"",30.0,4000.0,0.0014,,239,30.0,,new,0.0000499,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,148.62
Orocobre ltd,OROCF,"",2200.0,4000.0,0.0014,,240,2200.0,,new,No Data,Q3 2019,MATERIALS,13F,09/30/2019,1.73
Jacobs engineering group,JEC,"",39.0,4000.0,0.0014,,241,39.0,,new,0.0000288,Q3 2019,INDUSTRIALS,13F,09/30/2019,91.5
Charlottes web hldgs ord shs,CWBHF,"",200.0,3000.0,0.0011,,242,200.0,,new,N/A,Q3 2019, ,13F,09/30/2019,
Clorox co.,CLX,"",23.0,3000.0,0.0011,,243,23.0,,new,0.0000183,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,151.87
Thor industries  inc.,THO,"",60.0,3000.0,0.0011,,244,60.0,,new,0.0001090,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,56.64
White mountains insurance group inc,WTM,"",3.0,3000.0,0.0011,,245,3.0,,new,0.0000955,Q3 2019,FINANCE,13F,09/30/2019,1080.0
E.l.f. beauty inc,ELF,"",150.0,3000.0,0.0011,,246,150.0,,new,0.0003008,Q3 2019,CONSUMER STAPLES,13F,09/30/2019,17.51
Rollins  inc.,ROL,"",91.0,3000.0,0.0011,,247,91.0,,new,0.0000278,Q3 2019,INDUSTRIALS,13F,09/30/2019,34.07
Bp plc adr (british petroleum),BP,"",91.0,3000.0,0.0011,,248,91.0,,new,0.0000027,Q3 2019,ENERGY,13F,09/30/2019,37.99
Southwest airlines co.,LUV,"",51.0,3000.0,0.0011,,249,51.0,,new,0.0000095,Q3 2019,TRANSPORTS,13F,09/30/2019,54.01
Vaneck vect semiconductor etf,SMH,"",23.0,3000.0,0.0011,,250,23.0,,new,No Data,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,119.13
Fastenal co.,FAST,"",91.0,3000.0,0.0011,,251,91.0,,new,0.0000159,Q3 2019,INDUSTRIALS,13F,09/30/2019,32.67
Ishares core aggressive allocation etf,AOA,"",49.0,3000.0,0.0011,,252,49.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,54.92
Freeport-mcmoran copper & gold  inc,FCX,"",339.0,3000.0,0.0011,,253,339.0,,new,0.0000234,Q3 2019,MATERIALS,13F,09/30/2019,9.57
Nxp semiconductors n.v.,NXPI,"",25.0,3000.0,0.0011,,254,25.0,,new,0.0000076,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,109.12
Global x robotics & artificial intellige,BOTZ,"",133.0,3000.0,0.0011,,255,133.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,20.02
National presto industries inc.,NPK,"",31.0,3000.0,0.0011,,256,31.0,,new,0.0004429,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,89.09
Synaptics inc,SYNA,"",80.0,3000.0,0.0011,,257,80.0,,new,0.0002430,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,39.95
Diamondback energy inc,FANG,"",30.0,3000.0,0.0011,,258,30.0,,new,0.0000184,Q3 2019,ENERGY,13F,09/30/2019,89.91
Cameco corp.,CCJ,"",200.0,2000.0,0.0007,,259,200.0,,new,0.0000505,Q3 2019,ENERGY,13F,09/30/2019,9.5
Hess corp,HES,"",32.0,2000.0,0.0007,,260,32.0,,new,0.0000105,Q3 2019,ENERGY,13F,09/30/2019,60.48
National instruments corp,NATI,"",45.0,2000.0,0.0007,,261,45.0,,new,0.0000341,Q3 2019,INFORMATION TECHNOLOGY,13F,09/30/2019,41.99
Fulgent genetics inc,FLGT,"",200.0,2000.0,0.0007,,262,200.0,,new,0.0010817,Q3 2019,HEALTH CARE,13F,09/30/2019,10.39
Wirecard ag,WCAGY,"",28.0,2000.0,0.0007,,263,28.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,79.895
Marketaxess holdings inc,MKTX,"",6.0,2000.0,0.0007,,264,6.0,,new,0.0000159,Q3 2019,FINANCE,13F,09/30/2019,327.5
Solaris oilfield infrastructure inc,SOI,"",151.0,2000.0,0.0007,,265,151.0,,new,0.0003174,Q3 2019,ENERGY,13F,09/30/2019,13.42
Genworth financial inc,GNW,"",548.0,2000.0,0.0007,,266,548.0,,new,0.0001088,Q3 2019,FINANCE,13F,09/30/2019,4.4
Uber technologies inc,UBER,"",72.0,2000.0,0.0007,,267,72.0,,new,0.0000042,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,30.47
United airlines holdings inc,UAL,"",25.0,2000.0,0.0007,,268,25.0,,new,0.0000097,Q3 2019,TRANSPORTS,13F,09/30/2019,88.41
Heico corp.  class a,HEI.A,"",25.0,2000.0,0.0007,,269,25.0,,new,0.0000187,Q3 2019,INDUSTRIALS,13F,09/30/2019,97.31
Core laboratories n.v.,CLB,"",50.0,2000.0,0.0007,,270,50.0,,new,0.0001127,Q1 2016,ENERGY,13F,09/30/2019,46.62
