Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price
Axovant sciences ltd,AXGT,"",37.0,0.0,0.0,,314,37.0,,new,0.0000303,Q3 2019,HEALTH CARE,13F,09/30/2019,6.46
International paper co.,IP,"",10.0,0.0,0.0,,315,10.0,,new,0.0000025,Q3 2019,MATERIALS,13F,09/30/2019,41.82
General motors co,GM,"",3.0,0.0,0.0,,316,3.0,,new,0.0000002,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,37.48
Laredo petroleum inc,LPI,"",3.0,0.0,0.0,,317,3.0,,new,0.0000013,Q3 2019,ENERGY,13F,09/30/2019,2.41
Gryphon gold corp,GYPHQ,"",148397.0,0.0,0.0,,318,148397.0,,new,N/A,Q3 2019,MATERIALS,13F,09/30/2019,
America movil s.a.b. de c.v. ads,AMX,"",6.0,0.0,0.0,,319,6.0,,new,0.0000002,Q3 2019,UTILITIES AND TELECOMMUNICATIONS,13F,09/30/2019,14.86
Aurora cannabis inc,ACB,"",50.0,0.0,0.0,,320,50.0,,new,No Data,Q3 2019,HEALTH CARE,13F,09/30/2019,4.39
Fiat chrysler automobiles n.v.,FCAU,"",3.0,0.0,0.0,,321,3.0,,new,No Data,Q3 2019,CONSUMER DISCRETIONARY,13F,09/30/2019,12.95
International isotopes inc.,INIS,"",800.0,0.0,0.0,,322,800.0,,new,0.0001906,Q3 2019,HEALTH CARE,13F,09/30/2019,0.06
Westinghouse air brake technologies corp,WAB,"",5.0,0.0,0.0,,323,5.0,,new,0.0000027,Q3 2019,INDUSTRIALS,13F,09/30/2019,71.86
Global x msci pakistan etf,PAK,"",26.0,0.0,0.0,,324,26.0,,new,No Data,Q3 2019,FINANCE,13F,09/30/2019,6.21
